country	confidence	reference_name	checked_name	reason	verdict
Абхазия	exact	ОНИКС	Отель Оникс	названия совпали	
Абхазия	exact	ДИВА	Дива (Алахадзы)	названия совпали	
Абхазия	exact	КАЛИПСО ЦАНДРИПШ	Калипсо (Цандрипш)	названия совпали	
Абхазия	exact	KULIKOV HOUSE (КУЛИКОВ ХАУС)	Kulikov house	названия совпали	
Абхазия	exact	ДЕНИ ДЕЛЬМАР	Дени Дельмар	названия совпали	
Абхазия	exact	ПОЛЯНА	Поляна (Алахадзы)	названия совпали	
Абхазия	exact	ОЛИМП	Олимп	названия совпали	
Абхазия	exact	АБААТА ПИЦУНДА	Абаата Пицунда	названия совпали	
Абхазия	exact	ШАЛЕ У МОРЯ	Шале У Моря	названия совпали	
Абхазия	exact	АПСИЛИА	Апсилиа (Мачара)	названия совпали	
Абхазия	exact	VESNA (ВЕСНА)	Vesna Hotel	названия совпали	
Абхазия	exact	СТРЕЛЕЦ	Мини-отель Стрелец	названия совпали	
Абхазия	exact	ПАРК-ОТЕЛЬ АБХАЗИЯ	Парк-Отель Абхазия	названия совпали	
Абхазия	exact	АБХАЗСКИЙ ДВОРИК	Абхазский дворик (Цандрипш)	названия совпали	
Абхазия	exact	АБАС	Абас	названия совпали	
Абхазия	exact	БЕЛАЯ ПАНАМА (АГАВА)	Белая панама	названия совпали	
Абхазия	exact	КРИСТАЛЛ	Кристалл (Гечрипш)	названия совпали	
Абхазия	exact	WHITE HOTEL (БЕЛЫЙ ДОМ)	White Hotel	названия совпали	
Абхазия	exact	ГРЕЙС БРИЗ	Грейс Бриз	названия совпали	
Абхазия	exact	АФОН ДАКИР	Афон-Дакир	названия совпали	
Абхазия	exact	AURA CITY (БЫВШ. ЭЛИЗА)	Aura City Hotel	названия совпали	
Абхазия	exact	GUD HOUSE (ГУД ХАУС)	Гуд Хаус	названия совпали	
Абхазия	exact	САДЗЕН	Садзен (Цандрипш)	названия совпали	
Абхазия	exact	LAKAA (ЛАКАА)	Лакаа (Алахадзы)	названия совпали	
Абхазия	exact	ГРЕЙС САРИЯ	Грейс Сария	названия совпали	
Абхазия	exact	TRISTAN (ТРИСТАН)	Тристан	названия совпали	
Абхазия	exact	РЕЗИДЕНЦИЯ АПСНЫ	Резиденция Апсны	названия совпали	
Абхазия	exact	АДУНЕИ СУХУМ	Отель Адунеи Сухум	названия совпали	
Абхазия	exact	ДИНАСТИЯ	Династия	названия совпали	
Абхазия	exact	ЭКЛИПС	Эклипс.	названия совпали	
Абхазия	exact	PREHOTEL	PreHotel	названия совпали	
Абхазия	exact	SANZAZILA	SanZazila	названия совпали	
Абхазия	exact	КАМАРИТ	Камарит	названия совпали	
Абхазия	exact	ГРЕЙС ТИХИЙ ДОН	Грейс Тихий Дон	названия совпали	
Абхазия	exact	BLACK SEA	Black Sea	названия совпали	
Абхазия	exact	ГОРНЫЙ РУЧЕЙ	Горный ручей	названия совпали	
Абхазия	exact	ГРИФОН	Грифон	названия совпали	
Абхазия	exact	PARADISE (ПАРАДАЙЗ)	Парадайз	названия совпали	
Абхазия	exact	РУСЛАН И ДЖУЛЬЕТТА ГОСТЕВОЙ ДОМ	Руслан и Джульетта гостевой дом	названия совпали	
Абхазия	exact	PARADISE BEACH HOTEL	Paradise Beach Hotel	названия совпали	
Абхазия	exact	ЭКО-ПАПА (EX. ЛАГУНА)	Эко Папа	названия совпали	
Абхазия	exact	ПАЛЬМА	Пальма	названия совпали	
